Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay_Information,"AerialAssist_Northbay_Information_Load(object, EventArgs) : void",72,1,,4,5
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay_Information,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay_Information,InitializeComponent() : void,23,1,,28,196
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay_Information,"timer_Tick(object, EventArgs) : void",69,2,,2,7
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_Northbay_Information,UpdateSponsor() : void,39,15,,3,58
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha, ,32,136,7,104,1674
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,AerialAssist_RahChaCha(),37,1,,3,67
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"AerialAssist_RahChaCha_Load(object, EventArgs) : void",63,2,,7,8
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,BlankPanel() : void,75,1,,4,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,CalculateStdDev(IEnumerable<double>) : double,63,4,,5,8
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,ClearColourStats() : void,65,5,,7,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,ColourStats() : void,7,79,,8,275
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"eventInformationToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"exitToolStripMenuItem_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"exportToCSVToolStripMenuItem_Click_1(object, EventArgs) : void",44,5,,17,29
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"GetDataForTeam(int, int) : void",22,10,,16,163
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"howComeICannotSeeAnyTeamInformationToolStripMenuItem_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"importFromTextFileToolStripMenuItem_Click(object, EventArgs) : void",34,11,,17,67
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,InitializeComponent() : void,4,1,,51,881
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,PlotInitialLines() : void,60,1,,5,11
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"startingLocationPanel_Paint(object, PaintEventArgs) : void",100,1,,1,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"teamCompSelector1_SelectedIndexChanged(object, EventArgs) : void",73,1,,2,5
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"teamCompSelector2_SelectedIndexChanged(object, EventArgs) : void",73,1,,2,5
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"teamMatchBox_SelectedIndexChanged(object, EventArgs) : void",45,1,,14,26
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"teamSelector_SelectedIndexChanged(object, EventArgs) : void",30,4,,31,109
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"teamURLDisplay_LinkClicked(object, LinkClickedEventArgs) : void",92,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha,"whyDoesTheLinkForATeamWebsiteNotWorkToolStripMenuItem_Click(object, EventArgs) : void",98,1,,2,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.MyWebClient, ,93,2,4,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.MyWebClient,GetWebRequest(Uri) : WebRequest,85,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.MyWebClient,MyWebClient(),100,1,,1,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData, ,93,19,1,0,19
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,country_name.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,country_name.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,locality.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,locality.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,location.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,location.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,name.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,name.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,nickname.get() : string,98,1,,0,1
